yolo_id,name,train_count,test_count,total_count
1211,1344,0,92,92
4501,PT,92,0,92
652,0751,91,0,91
1235,1368,0,91,91
4047,4503,91,0,91
59,0059,90,0,90
100,0100,90,0,90
849,0951,90,0,90
1379,1515,90,0,90
1856,2178,90,0,90
4467,F2,90,0,90
4526,WM,90,0,90
68,0068,89,0,89
302,0311,89,0,89
1854,2176,89,0,89
1911,2234,89,0,89
4278,4733,89,0,89
12,0012,88,0,88
1184,1316,88,0,88
1741,2063,0,88,88
2749,3108,88,0,88
843,0945,87,0,87
91,0091,86,0,86
1182,1314,86,0,86
1738,2060,0,86,86
3820,4245,86,0,86
3856,4282,0,86,86
78,0078,84,1,85
889,0991,85,0,85
1179,1311,85,0,85
1743,2065,0,85,85
3097,3464,85,0,85
4539,sw,85,0,85
422,0519,49,35,84
1123,1255,84,0,84
1183,1315,84,0,84
4157,4612,84,0,84
61,0061,83,0,83
329,0338,83,0,83
741,0842,79,4,83
1112,1244,83,0,83
4356,4812,83,0,83
23,0023,82,0,82
222,0226,82,0,82
1520,1658,82,0,82
477,0576,81,0,81
1091,1223,81,0,81
1855,2177,81,0,81
1858,2180,81,0,81
206,0210,80,0,80
467,0566,80,0,80
1251,1385,8,72,80
1511,1649,80,0,80
4436,5345,80,0,80
2839,3204,79,0,79
53,0053,78,0,78
315,0324,78,0,78
337,0349,78,0,78
529,0628,78,0,78
1549,1687,56,22,78
2912,3279,78,0,78
4049,4505,78,0,78
673,0772,77,0,77
1064,1175,77,0,77
1198,1330,77,0,77
4149,4604,77,0,77
180,0184,76,0,76
145,0148,75,0,75
1078,1209,75,0,75
1098,1230,75,0,75
1220,1353,75,0,75
1835,2157,75,0,75
2903,3270,75,0,75
3958,4412,75,0,75
4219,4674,75,0,75
137,0140,74,0,74
1186,1318,74,0,74
1509,1647,74,0,74
1598,1835,72,2,74
4108,4564,74,0,74
1219,1352,73,0,73
7,0007,72,0,72
1197,1329,72,0,72
3995,4449,72,0,72
85,0085,71,0,71
854,0956,71,0,71
1074,1205,71,0,71
1359,1495,71,0,71
2334,2677,71,0,71
34,0034,70,0,70
4194,4649,70,0,70
63,0063,69,0,69
202,0206,69,0,69
413,0510,44,25,69
524,0623,69,0,69
3782,4207,69,0,69
60,0060,68,0,68
718,0818,68,0,68
773,0875,68,0,68
1941,2265,68,0,68
2425,2768,68,0,68
4240,4695,68,0,68
170,0174,67,0,67
189,0193,67,0,67
409,0506,67,0,67
545,0644,67,0,67
704,0804,67,0,67
4089,4545,59,8,67
4508,RC,67,0,67
281,0287,66,0,66
1395,1531,66,0,66
2024,2351,66,0,66
3828,4254,66,0,66
1100,1232,65,0,65
1113,1245,65,0,65
1145,1277,62,3,65
1174,1306,65,0,65
3282,3658,65,0,65
58,0058,64,0,64
613,0712,64,0,64
1159,1291,64,0,64
1167,1299,64,0,64
1717,2038,64,0,64
2142,2473,64,0,64
9,0009,63,0,63
1674,1914,63,0,63
1945,2269,63,0,63
4192,4647,63,0,63
4450,C2,63,0,63
4517,SH,63,0,63
1284,1418,62,0,62
1296,1431,62,0,62
1836,2158,62,0,62
1860,2182,62,0,62
1975,2300,62,0,62
24,0024,61,0,61
319,0328,61,0,61
853,0955,61,0,61
1162,1294,61,0,61
1385,1521,61,0,61
2315,2647,61,0,61
4201,4656,61,0,61
212,0216,60,0,60
729,0829,51,9,60
1130,1262,60,0,60
1164,1296,60,0,60
1348,1483,60,0,60
2439,2782,60,0,60
4223,4678,60,0,60
107,0107,59,0,59
519,0618,59,0,59
561,0660,59,0,59
674,0774,59,0,59
855,0957,59,0,59
1315,1450,31,28,59
1881,2204,0,59,59
4037,4492,59,0,59
4039,4495,59,0,59
14,0014,58,0,58
683,0783,58,0,58
1025,1134,23,35,58
1166,1298,58,0,58
1778,2100,0,58,58
1964,2288,58,0,58
1982,2307,0,58,58
4264,4719,58,0,58
4468,FM,58,0,58
282,0290,57,0,57
458,0556,57,0,57
1060,1170,57,0,57
1422,1558,57,0,57
1746,2068,0,57,57
2086,2416,57,0,57
2314,2646,57,0,57
4048,4504,57,0,57
66,0066,56,0,56
695,0795,55,0,55
713,0813,55,0,55
1163,1295,55,0,55
1870,2192,55,0,55
3818,4243,55,0,55
36,0036,54,0,54
43,0043,54,0,54
488,0587,54,0,54
491,0590,54,0,54
731,0831,54,0,54
1126,1258,54,0,54
1413,1549,54,0,54
1541,1679,0,54,54
1737,2059,0,54,54
2909,3276,54,0,54
3129,3497,54,0,54
74,0074,53,0,53
420,0517,53,0,53
995,1101,53,0,53
1321,1456,14,39,53
1361,1497,53,0,53
1795,2117,53,0,53
2855,3220,53,0,53
4242,4697,53,0,53
4470,G,53,0,53
190,0194,52,0,52
1096,1228,52,0,52
1188,1320,52,0,52
1289,1423,52,0,52
2125,2456,52,0,52
3900,4327,52,0,52
4183,4638,52,0,52
448,0546,51,0,51
536,0635,51,0,51
559,0658,51,0,51
808,0910,51,0,51
1859,2181,51,0,51
2920,3287,51,0,51
3803,4228,51,0,51
176,0180,50,0,50
200,0204,50,0,50
2913,3280,50,0,50
64,0064,49,0,49
306,0315,49,0,49
677,0777,49,0,49
857,0959,49,0,49
1005,1111,49,0,49
1254,1388,0,49,49
1340,1475,49,0,49
2143,2474,49,0,49
2845,3210,49,0,49
183,0187,48,0,48
486,0585,48,0,48
824,0926,48,0,48
1080,1211,48,0,48
1445,1581,48,0,48
1492,1630,48,0,48
4458,D2,48,0,48
548,0647,47,0,47
730,0830,47,0,47
1156,1288,47,0,47
1298,1433,47,0,47
1399,1535,47,0,47
1869,2191,47,0,47
2914,3281,47,0,47
3835,4261,47,0,47
4214,4669,47,0,47
4407,5316,47,0,47
8,0008,46,0,46
123,0124,46,0,46
266,0272,46,0,46
284,0292,46,0,46
368,0380,0,46,46
1273,1407,46,0,46
1341,1476,46,0,46
1600,1837,46,0,46
1977,2302,0,46,46
2139,2470,46,0,46
4077,4533,46,0,46
4309,4764,46,0,46
16,0016,44,1,45
194,0198,45,0,45
235,0239,45,0,45
336,0348,45,0,45
612,0711,45,0,45
1146,1278,45,0,45
1527,1665,45,0,45
2140,2471,45,0,45
2843,3208,45,0,45
3645,4021,45,0,45
3823,4248,45,0,45
4140,4595,45,0,45
4213,4668,45,0,45
4503,PY,45,0,45
0,0000,44,0,44
828,0930,44,0,44
1253,1387,0,44,44
1264,1398,44,0,44
1297,1432,44,0,44
1533,1671,43,1,44
1695,2015,44,0,44
2633,2978,44,0,44
4166,4621,44,0,44
4243,4698,44,0,44
4519,SS,44,0,44
35,0035,43,0,43
675,0775,43,0,43
1121,1253,43,0,43
1148,1280,43,0,43
1369,1505,41,2,43
1456,1592,43,0,43
1742,2064,0,43,43
3994,4448,0,43,43
4126,4581,43,0,43
4420,5329,43,0,43
87,0087,42,0,42
144,0147,42,0,42
369,0381,0,42,42
1426,1562,42,0,42
1436,1572,42,0,42
1475,1612,39,3,42
3133,3501,42,0,42
3909,4336,42,0,42
4120,4575,42,0,42
4518,SL,42,0,42
69,0069,41,0,41
314,0323,41,0,41
1294,1429,41,0,41
1530,1668,41,0,41
2754,3114,41,0,41
3778,4203,41,0,41
4238,4693,41,0,41
4448,BT,41,0,41
27,0027,40,0,40
56,0056,40,0,40
339,0351,40,0,40
527,0626,40,0,40
546,0645,40,0,40
716,0816,40,0,40
844,0946,40,0,40
1013,1119,40,0,40
1029,1138,40,0,40
1082,1213,40,0,40
1116,1248,39,1,40
1128,1260,40,0,40
2081,2411,40,0,40
2821,3184,40,0,40
2975,3342,40,0,40
3929,4358,40,0,40
4005,4459,40,0,40
139,0142,39,0,39
475,0574,39,0,39
664,0763,39,0,39
1114,1246,39,0,39
1502,1640,39,0,39
1927,2250,39,0,39
2955,3322,39,0,39
4078,4534,39,0,39
4360,4816,39,0,39
71,0071,38,0,38
95,0095,38,0,38
455,0553,38,0,38
1097,1229,38,0,38
1185,1317,38,0,38
1346,1481,38,0,38
1389,1525,38,0,38
1558,1696,38,0,38
1956,2280,38,0,38
2907,3274,38,0,38
4088,4544,38,0,38
57,0057,37,0,37
324,0333,37,0,37
700,0800,37,0,37
1391,1527,37,0,37
1425,1561,37,0,37
2104,2434,0,37,37
2138,2469,37,0,37
2357,2700,37,0,37
2601,2946,37,0,37
3777,4202,37,0,37
3843,4269,37,0,37
4406,5315,37,0,37
4535,null-2,37,0,37
11,0011,36,0,36
33,0033,36,0,36
45,0045,36,0,36
474,0573,36,0,36
629,0728,36,0,36
1012,1118,36,0,36
1303,1438,36,0,36
1861,2183,36,0,36
1984,2309,0,36,36
2141,2472,36,0,36
2956,3323,36,0,36
3070,3437,36,0,36
3845,4271,36,0,36
3896,4322,36,0,36
4509,RH,36,0,36
47,0047,35,0,35
410,0507,18,17,35
435,0533,35,0,35
1252,1386,0,35,35
2488,2831,35,0,35
3208,3577,35,0,35
3791,4216,35,0,35
128,0129,34,0,34
265,0271,34,0,34
658,0757,34,0,34
2341,2684,34,0,34
2415,2758,34,0,34
3911,4338,34,0,34
4129,4584,34,0,34
4205,4660,34,0,34
599,0698,33,0,33
630,0729,33,0,33
1072,1203,33,0,33
1133,1265,33,0,33
1171,1303,33,0,33
1196,1328,33,0,33
1291,1425,33,0,33
1355,1491,33,0,33
1890,2213,0,33,33
2319,2651,33,0,33
2630,2975,33,0,33
3254,3629,33,0,33
3832,4258,33,0,33
4087,4543,33,0,33
4491,MH,33,0,33
173,0177,32,0,32
277,0283,32,0,32
540,0639,32,0,32
655,0754,32,0,32
799,0901,32,0,32
1079,1210,32,0,32
1221,1354,32,0,32
1302,1437,32,0,32
1440,1576,32,0,32
3998,4452,32,0,32
4117,4572,32,0,32
4315,4770,32,0,32
1,0001,31,0,31
28,0028,31,0,31
141,0144,30,1,31
192,0196,31,0,31
196,0200,31,0,31
361,0373,0,31,31
415,0512,25,6,31
586,0685,31,0,31
821,0923,31,0,31
1147,1279,31,0,31
1178,1310,31,0,31
1222,1355,31,0,31
1345,1480,31,0,31
1862,2184,31,0,31
2906,3273,31,0,31
3773,4198,31,0,31
168,0172,30,0,30
452,0550,30,0,30
481,0580,30,0,30
609,0708,30,0,30
665,0764,30,0,30
1036,1146,30,0,30
1194,1326,30,0,30
1202,1334,30,0,30
1214,1347,30,0,30
1288,1422,30,0,30
1947,2271,30,0,30
1996,2321,30,0,30
2320,2652,30,0,30
3187,3555,30,0,30
3955,4409,30,0,30
4069,4525,30,0,30
4072,4528,30,0,30
4101,4557,30,0,30
70,0070,29,0,29
184,0188,29,0,29
485,0584,29,0,29
600,0699,29,0,29
672,0771,29,0,29
851,0953,29,0,29
1108,1240,29,0,29
1149,1281,29,0,29
1151,1283,29,0,29
1173,1305,8,21,29
1448,1584,29,0,29
1537,1675,29,0,29
2653,3000,29,0,29
3174,3542,29,0,29
3822,4247,29,0,29
3844,4270,29,0,29
3875,4301,29,0,29
4127,4582,29,0,29
4538,null-7,29,0,29
133,0136,28,0,28
355,0367,0,28,28
374,0386,0,28,28
383,0395,0,28,28
530,0629,28,0,28
531,0630,28,0,28
1000,1106,28,0,28
1313,1448,28,0,28
1314,1449,28,0,28
1524,1662,28,0,28
1548,1686,1,27,28
2318,2650,28,0,28
2468,2811,28,0,28
2718,3065,28,0,28
2751,3111,28,0,28
2805,3167,28,0,28
4537,null-5,28,0,28
75,0075,27,0,27
178,0182,27,0,27
198,0202,27,0,27
626,0725,27,0,27
746,0848,27,0,27
825,0927,27,0,27
852,0954,27,0,27
885,0987,27,0,27
1093,1225,27,0,27
1212,1345,0,27,27
1707,2028,27,0,27
1967,2292,27,0,27
2085,2415,27,0,27
2638,2983,27,0,27
4105,4561,27,0,27
4124,4579,27,0,27
4181,4636,27,0,27
4261,4716,27,0,27
4469,Furcraea,27,0,27
10,0010,26,0,26
46,0046,26,0,26
129,0130,26,0,26
358,0370,0,26,26
662,0761,26,0,26
1120,1252,26,0,26
1134,1266,26,0,26
1258,1392,26,0,26
1304,1439,26,0,26
1357,1493,26,0,26
1428,1564,26,0,26
1461,1598,26,0,26
1480,1618,26,0,26
2144,2475,26,0,26
2161,2492,26,0,26
2333,2676,26,0,26
2344,2687,26,0,26
2346,2689,26,0,26
2353,2696,26,0,26
2487,2830,26,0,26
3150,3518,26,0,26
3172,3540,26,0,26
3834,4260,26,0,26
4279,4734,26,0,26
4334,4789,26,0,26
30,0030,25,0,25
349,0361,0,25,25
399,0412,25,0,25
608,0707,25,0,25
1030,1139,25,0,25
1322,1457,25,0,25
1512,1650,25,0,25
1664,1904,25,0,25
1993,2318,0,25,25
2106,2436,0,25,25
2345,2688,25,0,25
2414,2757,25,0,25
2934,3301,25,0,25
3960,4414,25,0,25
4412,5321,25,0,25
4474,HB,25,0,25
4477,J,25,0,25
4514,SD,25,0,25
15,0015,24,0,24
191,0195,24,0,24
258,0263,24,0,24
454,0552,24,0,24
636,0735,24,0,24
682,0782,24,0,24
722,0822,24,0,24
877,0979,24,0,24
1033,1142,24,0,24
1037,1147,24,0,24
1071,1202,24,0,24
1342,1477,24,0,24
1402,1538,24,0,24
1411,1547,24,0,24
1550,1688,20,4,24
1719,2040,24,0,24
2852,3217,24,0,24
3936,4366,24,0,24
3979,4433,24,0,24
3982,4436,24,0,24
4121,4576,24,0,24
62,0062,23,0,23
138,0141,23,0,23
186,0190,23,0,23
342,0354,23,0,23
394,0407,23,0,23
476,0575,23,0,23
487,0586,23,0,23
661,0760,23,0,23
818,0920,23,0,23
1083,1215,23,0,23
1160,1292,23,0,23
1388,1524,23,0,23
1536,1674,23,0,23
1693,2013,23,0,23
1735,2057,0,23,23
1744,2066,0,23,23
1883,2206,23,0,23
1920,2243,23,0,23
2146,2477,23,0,23
2184,2515,23,0,23
2250,2581,23,0,23
2254,2585,23,0,23
2316,2648,23,0,23
2342,2685,23,0,23
2348,2691,23,0,23
2349,2692,23,0,23
2440,2783,23,0,23
2936,3303,23,0,23
3622,3998,23,0,23
4486,LT,23,0,23
228,0232,22,0,22
386,0398,0,22,22
574,0673,22,0,22
602,0701,22,0,22
605,0704,22,0,22
1187,1319,22,0,22
1201,1333,22,0,22
1782,2104,21,1,22
1796,2118,22,0,22
2203,2534,22,0,22
2379,2722,22,0,22
2636,2981,22,0,22
2867,3232,22,0,22
3207,3576,22,0,22
3904,4331,22,0,22
3949,4403,22,0,22
4070,4526,22,0,22
4193,4648,22,0,22
13,0013,21,0,21
83,0083,21,0,21
101,0101,21,0,21
121,0122,21,0,21
193,0197,21,0,21
203,0207,21,0,21
261,0267,20,1,21
340,0352,21,0,21
396,0409,21,0,21
405,0502,21,0,21
471,0570,21,0,21
647,0746,21,0,21
653,0752,21,0,21
829,0931,21,0,21
830,0932,21,0,21
1150,1282,21,0,21
1155,1287,21,0,21
1207,1340,21,0,21
1210,1343,0,21,21
1283,1417,21,0,21
1347,1482,21,0,21
1371,1507,21,0,21
2317,2649,21,0,21
2343,2686,21,0,21
2478,2821,21,0,21
2976,3343,21,0,21
3108,3476,21,0,21
3146,3514,21,0,21
3253,3628,21,0,21
4076,4532,21,0,21
4452,CG,21,0,21
67,0067,20,0,20
77,0077,20,0,20
201,0205,20,0,20
223,0227,20,0,20
262,0268,18,2,20
330,0339,20,0,20
343,0355,20,0,20
436,0534,20,0,20
625,0724,20,0,20
812,0914,14,6,20
816,0918,20,0,20
899,1001,19,1,20
1068,1180,20,0,20
1542,1680,0,20,20
1675,1915,20,0,20
1809,2131,20,0,20
2073,2402,19,1,20
2347,2690,20,0,20
2467,2810,20,0,20
2472,2815,20,0,20
2888,3254,20,0,20
2993,3360,19,1,20
3107,3475,20,0,20
3156,3524,20,0,20
4106,4562,20,0,20
4182,4637,20,0,20
4253,4708,20,0,20
4400,5309,20,0,20
185,0189,19,0,19
208,0212,19,0,19
437,0535,19,0,19
445,0543,19,0,19
551,0650,19,0,19
598,0697,18,1,19
639,0738,19,0,19
690,0790,19,0,19
698,0798,19,0,19
708,0808,19,0,19
804,0906,19,0,19
840,0942,19,0,19
898,1000,19,0,19
1125,1257,19,0,19
1261,1395,19,0,19
1756,2078,18,1,19
2002,2327,19,0,19
2067,2396,19,0,19
2083,2413,19,0,19
2105,2435,0,19,19
2251,2582,19,0,19
2350,2693,19,0,19
2721,3069,19,0,19
2806,3168,19,0,19
3151,3519,19,0,19
3817,4242,19,0,19
4255,4710,19,0,19
4268,4723,19,0,19
4280,4735,19,0,19
5,0005,18,0,18
134,0137,18,0,18
175,0179,18,0,18
259,0265,18,0,18
357,0369,0,18,18
439,0537,18,0,18
440,0538,18,0,18
557,0656,18,0,18
694,0794,18,0,18
882,0984,18,0,18
998,1104,18,0,18
1153,1285,18,0,18
1276,1410,18,0,18
1403,1539,18,0,18
1450,1586,18,0,18
1462,1599,18,0,18
1485,1623,18,0,18
1531,1669,18,0,18
1532,1670,18,0,18
1544,1682,18,0,18
1678,1918,18,0,18
1681,2002,18,0,18
2071,2400,18,0,18
2416,2759,18,0,18
2481,2824,18,0,18
2626,2971,18,0,18
2664,3011,18,0,18
2702,3049,18,0,18
2750,3110,18,0,18
2908,3275,18,0,18
2984,3351,17,1,18
3135,3503,18,0,18
3831,4257,18,0,18
4137,4592,18,0,18
4162,4617,18,0,18
4256,4711,18,0,18
32,0032,17,0,17
89,0089,17,0,17
234,0238,17,0,17
290,0299,17,0,17
344,0356,17,0,17
364,0376,0,17,17
732,0832,17,0,17
793,0895,17,0,17
797,0899,17,0,17
814,0916,17,0,17
819,0921,17,0,17
822,0924,17,0,17
870,0972,17,0,17
900,1002,15,2,17
990,1096,17,0,17
1038,1148,17,0,17
1059,1169,17,0,17
1280,1414,17,0,17
1316,1451,17,0,17
1351,1486,17,0,17
1424,1560,17,0,17
1603,1840,17,0,17
1677,1917,17,0,17
2330,2673,17,0,17
2352,2695,17,0,17
2700,3047,17,0,17
2978,3345,16,1,17
4002,4456,17,0,17
4123,4578,17,0,17
4237,4692,17,0,17
4480,L1,17,0,17
163,0166,16,0,16
171,0175,16,0,16
238,0242,16,0,16
308,0317,16,0,16
310,0319,16,0,16
356,0368,0,16,16
403,0500,16,0,16
706,0806,16,0,16
887,0989,16,0,16
997,1103,16,0,16
1067,1178,16,0,16
1122,1254,16,0,16
1293,1428,16,0,16
1308,1443,16,0,16
1365,1501,16,0,16
1370,1506,16,0,16
1409,1545,16,0,16
1415,1551,16,0,16
1427,1563,16,0,16
1486,1624,16,0,16
1529,1667,16,0,16
1685,2006,16,0,16
1709,2030,16,0,16
1748,2070,0,16,16
1837,2159,16,0,16
1917,2240,16,0,16
1919,2242,16,0,16
2017,2344,16,0,16
2042,2370,16,0,16
2204,2535,16,0,16
2351,2694,16,0,16
2631,2976,16,0,16
2632,2977,16,0,16
2634,2979,16,0,16
2733,3081,16,0,16
2954,3321,16,0,16
2997,3364,14,2,16
3105,3473,0,16,16
3203,3572,16,0,16
3668,4044,16,0,16
3829,4255,16,0,16
4021,4476,16,0,16
4043,4499,16,0,16
4156,4611,16,0,16
4158,4613,16,0,16
4277,4732,16,0,16
4283,4738,16,0,16
4300,4755,16,0,16
4308,4763,16,0,16
4310,4765,16,0,16
4398,5307,16,0,16
103,0103,15,0,15
112,0112,15,0,15
151,0154,15,0,15
227,0231,15,0,15
231,0235,15,0,15
279,0285,15,0,15
400,0413,15,0,15
480,0579,15,0,15
584,0683,15,0,15
